,Word,Count
0,black,38
1,gender,36
2,hot,31
3,men,20
4,make,18
5,sexual,15
6,really,14
7,one,13
8,change,13
9,would,12
10,via,11
11,workplace,11
12,like,10
13,president,10
14,society,10
15,training,10
16,use,10
17,act,10
18,police,10
19,good,10
20,sensitization,10
21,harassment,10
22,people,9
23,always,9
24,go,9
25,pink,9
26,u,9
27,get,9
28,gap,9
29,truth,9
30,towards,9
31,pay,8
32,yesterday,8
33,cry,8
34,work,8
35,leave,8
36,break,7
37,beat,7
38,aggressive,7
39,day,7
40,tell,7
41,happen,7
42,especially,7
43,life,7
44,need,7
45,see,7
46,bias,7
47,time,6
48,do,6
49,white,6
50,think,6
51,industry,6
52,end,6
53,wait,6
54,wear,6
55,woman,6
56,racism,6
57,tiny,6
58,say,5
59,sector,5
60,show,5
61,cause,5
62,love,5
63,everyone,5
64,bravo,5
65,try,5
66,still,5
67,charge,5
68,come,5
69,school,5
70,could,5
71,two,5
72,question,5
73,probably,5
74,base,5
75,inspire,4
76,way,4
77,house,4
78,vote,4
79,movement,4
80,new,4
81,send,4
82,support,4
83,exactly,4
84,become,4
85,bell,4
86,gen,4
87,great,4
88,separate,4
89,however,4
90,story,4
91,run,4
92,sure,4
93,r,4
94,likely,4
95,jail,4
96,climate,4
97,series,4
98,femininity,4
99,around,4
100,color,4
101,old,4
102,casual,3
103,blue,3
104,statement,3
105,pending,3
106,violence,3
107,woke,3
108,balance,3
109,yet,3
110,man,3
111,feminist,3
112,vice,3
113,never,3
114,male,3
115,put,3
116,someone,3
117,career,3
118,serve,3
119,subject,3
120,well,3
121,speak,3
122,stop,3
123,part,3
124,many,3
125,fun,3
126,believe,3
127,truly,3
128,al,3
129,read,3
130,teacher,3
131,talk,3
132,take,3
133,girl,3
134,number,3
135,response,3
136,since,3
137,world,3
138,piece,3
139,racist,3
140,leader,3
141,lion,3
142,skin,3
143,know,3
144,b,3
145,lack,3
146,wish,3
147,must,2
148,live,2
149,founder,2
150,critical,2
151,embarrass,2
152,issue,2
153,also,2
154,explain,2
155,whether,2
156,renewable,2
157,principal,2
158,anybody,2
159,stereotype,2
160,lot,2
161,health,2
162,education,2
163,fade,2
164,big,2
165,admit,2
166,foster,2
167,mentality,2
168,date,2
169,place,2
170,sustain,2
171,subtle,2
172,group,2
173,first,2
174,choose,2
175,photo,2
176,respect,2
177,alive,2
178,w,2
179,national,2
180,imagination,2
181,came,2
182,popular,2
