Id;Label;PageRank;Authorithy;Eccentricity;Hub;Closeness;Harmonic Closeness;Betweenness;Clustering Coeff.
blueforboys;blueforboys;0.0019643006149794974;0.03976014;2.0;0.03976014;0.8512720156555773;0.9126436781609195;1.262.360.132.282.060;0.9950047731399536
genderstereotype;genderstereotype;0.0020363999181100025;0.04154643;2.0;0.04154643;0.8787878787878788;0.9310344827586207;12.998.063.739.726.100;0.9953226447105408
society;society;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
privilege;privilege;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
consumerism;consumerism;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
femininity;femininity;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
whitesupremacy;whitesupremacy;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
race;race;0.002302788336652708;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
girlpower;girlpower;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
bias;bias;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
beautiful;beautiful;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
republicans;republicans;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
hatred;hatred;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
cia;cia;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
art;art;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
gay;gay;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
peace;peace;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
america;america;0.002302788336652708;0.04804614;2.0;0.04804614;0.9977064220183486;0.9988505747126437;21.057.098.828.620.800;0.9939655661582947
climate;climate;0.0023023503783778736;0.048078056;2.0;0.048078053;0.9977064220183486;0.9988505747126437;14.528.093.183.488.900;0.9952959418296814
fashion;fashion;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
whiteprivilege;whiteprivilege;0.0022973345221740057;0.048014425;2.0;0.048014425;0.9954233409610984;0.9977011494252873;0.6992494340692434;0.9972628355026245
violence;violence;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
lgbt;lgbt;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
sjw;sjw;0.0022927030782697597;0.04792015;2.0;0.04792015;0.9931506849315068;0.996551724137931;0.5184477172871472;0.9979590773582458
football;football;0.00229774257863488;0.047980953;2.0;0.047980953;0.9954233409610984;0.9977011494252873;1.306.771.093.833.950;0.9958621859550476
poc;poc;0.002292681224701874;0.04792271;2.0;0.04792271;0.9931506849315068;0.996551724137931;0.48561726562963536;0.9980664849281311
cosmetic;cosmetic;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
makeup;makeup;0.0023074416257814778;0.04813785;1.0;0.04813785;1.0;1.0;2.319.342.051.301.690;0.993188202381134
toys;toys;0.0023028338302370573;0.048040748;2.0;0.048040748;0.9977064220183486;0.9988505747126437;2.173.303.826.786.760;0.9937421083450317
